Nome do ensaio	Modo de ensaio	Tipo de ensaio	Título1	Comentário1	Palavra-chave	Nome do produto	Nome do arquivo do ensaio	Nome do arquivo do método	Data do relatório	Data do ensaio	Modo de ensaio	Tipo de ensaio	Velocidade	Placa	Lote No:	Sub-Lote No:
Extensometro SG25-50 - Placa - Sthil_20210601_1512.xtak	Simples	Tração	Grupo de Mecânica Aplicada - GMAp
UFRGS	Comentário	 	 	Extensometro SG25-50 - Placa - Sthil_20210601_1512.xtak	Extensometro SG25-50 - Placa - Sthil.xmak	01/06/2021	01/06/2021	Simples	Tração	5mm/min	Placa	1	1

Placa:	Lote No:	Sub-Lote No:
Placa	1	1
Nome	Espessura	Largura	Gauge Length
Unidade:	mm	mm	mm
Ga_D_27	3.3613	13.0583	115.0000

Nome	Elástico	Inclinação_Padrão	Ruptura_Força	Máx_Força	Max_Disp_Força	Max_Disp_SG-25-50 %	Max_Disp_Deslocamento	Espessura	Largura	Gauge_Length	Máx_Tensão	YS1_Tensão
Parâmetro	Tensão 40 - 60 N/mm2	Tensão 40 - 60 N/mm2	Sensibilidade: 10	Cálculo de áreas completas							Cálculo de áreas completas	0.2 %
Unidade	N/mm2	N/mm	kN	kN	kN	%	mm	mm	mm	mm	N/mm2	N/mm2
Ga_D_27	-.-	-.-	1.29533	1.33816	1.29525	4.79826	4.81140	3.3613	13.0583	115.0000	30.4871	-.-

Ga_D_27	
Tempo	Força	Deslocamento	Desloc. SG25-50	Tensão	SG-25-50 %	Deformação
seg	kN	mm	mm	N/mm2	%	%
0	0.0111262	0	0	0.2534854	0	0
0.01	0.0111262	3.125E-05	0.0002165635	0.2534854	0.0008662542	0.0008662542
0.02	0.0111262	0.0001875	0.0003218651	0.2534854	0.00128746	0.00128746
0.03	0.0111262	0.00053125	0.0002404054	0.2534854	0.0009616216	0.0009616216
0.04	0.0111262	0.001052083	6.755193E-05	0.2534854	0.0002702077	0.0002702077
0.05	0.0111262	0.0016875	0.0002880891	0.2534854	0.001152357	0.001152357
0.06	0.0111262	0.00240625	0.0005761783	0.2534854	0.002304713	0.002304713
0.07	0.0111262	0.0031875	0.0003000101	0.2534854	0.00120004	0.00120004
0.08	0.01104673	0.003989583	0.0007927418	0.2516748	0.003170967	0.003170967
0.09	0.01104673	0.0048125	0.001045068	0.2516748	0.004180273	0.004180273
0.1	0.01104673	0.005625	0.001166264	0.2516748	0.004665057	0.004665057
0.11	0.01104673	0.006447916	0.001559655	0.2516748	0.006238619	0.006238619
0.12	0.01104673	0.007270833	0.001289447	0.2516748	0.005157789	0.005157789
0.13	0.01104673	0.00809375	0.00188748	0.2516748	0.007549922	0.007549922
0.14	0.01104673	0.008916667	0.001917283	0.2516748	0.007669131	0.007669131
0.15	0.01104673	0.009739583	0.002127886	0.2516748	0.008511543	0.008511543
0.16	0.01104673	0.01057292	0.002501408	0.2516748	0.01000563	0.01000563
0.17	0.01104673	0.01140625	0.002499421	0.2516748	0.009997685	0.009997685
0.18	0.01104673	0.01223958	0.002876918	0.2516748	0.01150767	0.01150767
0.19	0.01104673	0.01307292	0.002670288	0.2516748	0.01068115	0.01068115
0.2	0.01104673	0.01391667	0.003111362	0.2516748	0.01244545	0.01244545
0.21	0.01104673	0.01476042	0.003272295	0.2516748	0.01308918	0.01308918
0.22	0.0111262	0.01559375	0.00328819	0.2534854	0.01315276	0.01315276
0.23	0.0111262	0.01642708	0.003310045	0.2534854	0.01324018	0.01324018
0.24	0.0111262	0.01725	0.003647804	0.2534854	0.01459122	0.01459122
0.25	0.0111262	0.01807292	0.003919999	0.2534854	0.01567999	0.01567999
0.26	0.0111262	0.01889583	0.004190207	0.2534854	0.01676083	0.01676083
0.27	0.0111262	0.01971875	0.004386902	0.2534854	0.01754761	0.01754761
0.28	0.0111262	0.02055208	0.004303455	0.2534854	0.01721382	0.01721382
0.29	0.01303355	0.02138542	0.004661083	0.29694	0.01864433	0.01864433
0.3	0.02602736	0.02221875	0.004371007	0.5929748	0.01748403	0.01748403
0.31	0.02622604	0.02305208	0.004998843	0.5975013	0.01999537	0.01999537
0.32	0.02618631	0.02388542	0.004980961	0.596596	0.01992385	0.01992385
0.33	0.02658367	0.02472917	0.004998843	0.605649	0.01999537	0.01999537
0.34	0.02817313	0.02557292	0.005249182	0.6418613	0.02099673	0.02099673
0.35	0.02872944	0.02640625	0.005561113	0.6545355	0.02224445	0.02224445
0.36	0.02845128	0.02725	0.005733967	0.6481984	0.02293587	0.02293587
