Nome do ensaio	Modo de ensaio	Tipo de ensaio	Título1	Comentário1	Palavra-chave	Nome do produto	Nome do arquivo do ensaio	Nome do arquivo do método	Data do relatório	Data do ensaio	Modo de ensaio	Tipo de ensaio	Velocidade	Placa	Lote No:	Sub-Lote No:
Extensometro SG25-50 - Placa - Sthil_20210601_1531.xtak	Simples	Tração	Grupo de Mecânica Aplicada - GMAp
UFRGS	Comentário	 	 	Extensometro SG25-50 - Placa - Sthil_20210601_1531.xtak	Extensometro SG25-50 - Placa - Sthil.xmak	01/06/2021	01/06/2021	Simples	Tração	5mm/min	Placa	1	1

Placa:	Lote No:	Sub-Lote No:
Placa	1	1
Nome	Espessura	Largura	Gauge Length
Unidade:	mm	mm	mm
Ga_D_30	3.3813	13.0053	115.0000

Nome	Elástico	Inclinação_Padrão	Ruptura_Força	Máx_Força	Max_Disp_Força	Max_Disp_SG-25-50 %	Max_Disp_Deslocamento	Espessura	Largura	Gauge_Length	Máx_Tensão	YS1_Tensão
Parâmetro	Tensão 40 - 60 N/mm2	Tensão 40 - 60 N/mm2	Sensibilidade: 10	Cálculo de áreas completas							Cálculo de áreas completas	0.2 %
Unidade	N/mm2	N/mm	kN	kN	kN	%	mm	mm	mm	mm	N/mm2	N/mm2
Ga_D_30	123	-.-	1.27312	1.29592	1.27324	3.99630	4.61642	3.3813	13.0053	115.0000	29.4697	321

Ga_D_30	
Tempo	Força	Deslocamento	Desloc. SG25-50	Tensão	SG-25-50 %	Deformação
seg	kN	mm	mm	N/mm2	%	%
0	0.01136462	0	0	0.2584347	0	0
0.01	0.01136462	3.125E-05	-8.145968E-05	0.2584347	-0.0003258387	-0.0003258387
0.02	0.01136462	0.00015625	-4.56969E-05	0.2584347	-0.0001827876	-0.0001827876
0.03	0.01136462	0.0004895834	-0.0001172225	0.2584347	-0.0004688899	-0.0004688899
0.04	0.01136462	0.001020833	-0.0001291434	0.2584347	-0.0005165736	-0.0005165736
0.05	0.01136462	0.001677083	0.0001152356	0.2584347	0.0004609426	0.0004609426
0.06	0.01136462	0.00240625	3.774961E-05	0.2584347	0.0001509984	0.0001509984
0.07	0.01136462	0.003166667	0.0004967054	0.2584347	0.001986821	0.001986821
0.08	0.01136462	0.00396875	0.0008583069	0.2584347	0.003433228	0.003433228
0.09	0.01136462	0.00478125	0.0008861224	0.2584347	0.00354449	0.00354449
0.1	0.01136462	0.005604167	0.000846386	0.2584347	0.003385544	0.003385544
0.11	0.01136462	0.006427083	0.001307329	0.2584347	0.005229314	0.005229314
0.12	0.01136462	0.007260417	0.001476208	0.2584347	0.005904833	0.005904833
0.13	0.01136462	0.008083333	0.001714627	0.2584347	0.006858508	0.006858508
0.14	0.01136462	0.008916667	0.001863639	0.2584347	0.007454554	0.007454554
0.15	0.01136462	0.009760416	0.001645088	0.2584347	0.006580353	0.006580353
0.16	0.01136462	0.01060417	0.002338489	0.2584347	0.009353955	0.009353955
0.17	0.01136462	0.0114375	0.002451738	0.2584347	0.009806951	0.009806951
0.18	0.01136462	0.01227083	0.002527237	0.2584347	0.01010895	0.01010895
0.19	0.01136462	0.01309375	0.002878904	0.2584347	0.01151562	0.01151562
0.2	0.01136462	0.01390625	0.002757708	0.2584347	0.01103083	0.01103083
0.21	0.01136462	0.01473958	0.003290176	0.2584347	0.01316071	0.01316071
0.22	0.01136462	0.0155625	0.00303189	0.2584347	0.01212756	0.01212756
0.23	0.01136462	0.01639583	0.003316005	0.2584347	0.01326402	0.01326402
0.24	0.01136462	0.01721875	0.003546476	0.2584347	0.01418591	0.01418591
0.25	0.01136462	0.01805208	0.003804763	0.2584347	0.01521905	0.01521905
0.26	0.01136462	0.01888542	0.003842513	0.2584347	0.01537005	0.01537005
0.27	0.01136462	0.01972917	0.004283587	0.2584347	0.01713435	0.01713435
0.28	0.01136462	0.0205625	0.004299482	0.2584347	0.01719793	0.01719793
0.29	0.01136462	0.02140625	0.004643202	0.2584347	0.01857281	0.01857281
0.3	0.01136462	0.02223958	0.004748503	0.2584347	0.01899401	0.01899401
0.31	0.01136462	0.02308333	0.004996856	0.2584347	0.01998742	0.01998742
0.32	0.01315276	0.02390625	0.00474453	0.2990975	0.01897812	0.01897812
0.33	0.02602736	0.02472917	0.0050505	0.5918697	0.020202	0.020202
0.34	0.02658367	0.0255625	0.005084276	0.6045203	0.0203371	0.0203371
0.35	0.02566973	0.02638542	0.005304813	0.5837371	0.02121925	0.02121925
0.36	0.02698104	0.02721875	0.005785624	0.6135565	0.0231425	0.0231425
0.37	0.02789497	0.0280625	0.006111463	0.6343397	0.02444585	0.02444585
0.38	0.02829234	0.02889583	0.005962451	0.6433759	0.02384981	0.02384981
0.39	0.02757708	0.02972917	0.006065766	0.6271108	0.02426306	0.02426306
0.4	0.02864997	0.03057292	0.006212791	0.6515085	0.02485116	0.02485116
0.41	0.0304381	0.03141667	0.00650088	0.6921712	0.02600352	0.02600352
0.42	0.03151099	0.03225	0.006701549	0.7165689	0.0268062	0.0268062
0.43	0.03202756	0.03308333	0.007041296	0.7283159	0.02816518	0.02816518
0.44	0.0320673	0.03391667	0.007047256	0.7292196	0.02818902	0.02818902
0.45	0.03262361	0.03472917	0.007073084	0.7418702	0.02829234	0.02829234
0.46	0.03210704	0.0355625	0.007440647	0.7301232	0.02976259	0.02976259
0.47	0.03540516	0.03638542	0.007571777	0.8051234	0.03028711	0.03028711
0.48	0.03357728	0.03721875	0.007853906	0.763557	0.03141562	0.03141562
0.49	0.03413359	0.03804167	0.007724762	0.7762077	0.03089905	0.03089905
0.5	0.03580252	0.038875	0.008151929	0.8141597	0.03260772	0.03260772
0.51	0.03548463	0.03970833	0.008271138	0.8069307	0.03308455	0.03308455
0.52	0.03584226	0.04054167	0.008447965	0.8150632	0.03379186	0.03379186
0.53	0.03532569	0.04139583	0.008543332	0.8033162	0.03417333	0.03417333
0.54	0.03647804	0.04223958	0.008815527	0.8295212	0.03526211	0.03526211
0.55	0.03747145	0.04307292	0.009038051	0.8521116	0.0361522	0.0361522
0.56	0.03818671	0.04390625	0.009004275	0.8683767	0.0360171	0.0360171
0.57	0.03774961	0.04473958	0.009097655	0.8584369	0.03639062	0.03639062
0.58	0.03767014	0.04557292	0.00941952	0.8566297	0.03767808	0.03767808
0.59	0.03858407	0.04639583	0.009665887	0.8774129	0.03866355	0.03866355
0.6	0.04029274	0.04722917	0.009834766	0.9162685	0.03933907	0.03933907
0.61	0.04386902	0.0480625	0.01032551	0.9975941	0.04130204	0.04130204
0.62	0.04347165	0.04889583	0.01014272	0.9885578	0.0405709	0.0405709
0.63	0.04108747	0.04972916	0.01042684	0.9343408	0.04170736	0.04170736
0.64	0.04295508	0.0505625	0.01093348	0.9768109	0.04373391	0.04373391
0.65	0.04239877	0.05140625	0.01072884	0.9641602	0.04291534	0.04291534
0.66	0.04251798	0.05225	0.01079639	0.966871	0.04318555	0.04318555
0.67	0.04374981	0.05308333	0.01114408	0.9948832	0.04457633	0.04457633
0.68	0.04557769	0.05392708	0.01128912	1.03645	0.04515648	0.04515648
0.69	0.04692872	0.05473958	0.01175404	1.067173	0.04701614	0.04701614
0.7	0.04629294	0.0555625	0.01172821	1.052715	0.04691283	0.04691283
0.71	0.04621347	0.05638542	0.01192093	1.050907	0.04768372	0.04768372
0.72	0.04740556	0.05721875	0.01219908	1.078016	0.04879634	0.04879634
0.73	0.04752477	0.05804167	0.01234412	1.080727	0.04937649	0.04937649
0.74	0.04756451	0.05888542	0.01254876	1.08163	0.05019506	0.05019506
0.75	0.05066395	0.05970833	0.01255274	1.152113	0.05021095	0.05021095
0.76	0.05030632	0.06054167	0.01249115	1.14398	0.04996459	0.04996459
0.77	0.05022685	0.06138542	0.01307925	1.142173	0.05231698	0.05231698
0.78	0.05022685	0.06222917	0.012815	1.142173	0.05125999	0.05125999
0.79	0.05026658	0.06307291	0.01300971	1.143076	0.05203883	0.05203883
0.8	0.05149841	0.06390625	0.01347065	1.171089	0.0538826	0.0538826
0.81	0.05157788	0.06473958	0.01373291	1.172896	0.05493164	0.05493164
0.82	0.05249183	0.06557292	0.01381238	1.193679	0.05524953	0.05524953
0.83	0.05292892	0.06639583	0.01395345	1.203619	0.05581379	0.05581379
0.84	0.05261103	0.06721875	0.01407663	1.19639	0.05630652	0.05630652
0.85	0.05531311	0.06805208	0.01420975	1.257836	0.05683899	0.05683899
0.86	0.05682309	0.06888542	0.01459122	1.292173	0.05836487	0.05836487
0.87	0.05658467	0.06970833	0.01476407	1.286752	0.05905628	0.05905628
0.88	0.05837281	0.07054166	0.01460711	1.327415	0.05842845	0.05842845
0.89	0.05829334	0.07138541	0.01480977	1.325607	0.05923907	0.05923907
0.9	0.0565052	0.07221875	0.01496077	1.284945	0.05984306	0.05984306
0.91	0.05729993	0.0730625	0.01521707	1.303017	0.06086826	0.06086826
0.92	0.06004174	0.07390625	0.01540581	1.365366	0.06162326	0.06162326
0.93	0.06079674	0.07473958	0.01532435	1.382535	0.06129742	0.06129742
0.94	0.06091595	0.0755625	0.01567602	1.385246	0.06270409	0.06270409
0.95	0.06103516	0.07639583	0.01597206	1.387957	0.06388823	0.06388823
0.96	0.05956491	0.07721875	0.01618465	1.354523	0.06473859	0.06473859
0.97	0.05972385	0.07805208	0.01624227	1.358138	0.06496906	0.06496906
0.98	0.06139278	0.078875	0.01634161	1.39609	0.06536642	0.06536642
0.99	0.06159147	0.07970833	0.01660784	1.400607	0.06643137	0.06643137
1	0.06337961	0.08054166	0.01653234	1.44127	0.06612936	0.06612936
1.01	0.0632604	0.081375	0.01705885	1.43856	0.0682354	0.0682354
1.02	0.06433328	0.08220834	0.01719395	1.462957	0.06877581	0.06877581
1.03	0.06357829	0.08305208	0.01709461	1.445788	0.06837845	0.06837845
1.04	0.06481012	0.08389583	0.01771847	1.473801	0.07087389	0.07087389
1.05	0.06612142	0.08473958	0.01777411	1.50362	0.07109642	0.07109642
1.06	0.06556511	0.08557291	0.01801451	1.490969	0.07205804	0.07205804
1.07	0.06639957	0.08638541	0.01801451	1.509945	0.07205804	0.07205804
1.08	0.06826719	0.08721875	0.01810789	1.552415	0.07243156	0.07243156
1.09	0.06906191	0.08805208	0.01865824	1.570488	0.07463297	0.07463297
1.1	0.0696977	0.08888542	0.01849135	1.584946	0.07396539	0.07396539
1.11	0.07029375	0.08971875	0.01883308	1.5985	0.07533232	0.07533232
1.12	0.07077058	0.09055208	0.0190715	1.609343	0.076286	0.076286
1.13	0.07033348	0.09138542	0.01924833	1.599404	0.07699331	0.07699331
1.14	0.07120768	0.09221875	0.01957019	1.619283	0.07828077	0.07828077
1.15	0.07085005	0.0930625	0.01979669	1.611151	0.07918676	0.07918676
1.16	0.07192294	0.09390625	0.01974503	1.635548	0.07898013	0.07898013
1.17	0.07363161	0.09475	0.01993179	1.674404	0.07972717	0.07972717
1.18	0.07605553	0.09558333	0.02004107	1.729524	0.08016428	0.08016428
1.19	0.07430712	0.09640625	0.02042452	1.689765	0.0816981	0.0816981
1.2	0.07410844	0.09722917	0.02029538	1.685247	0.08118153	0.08118153
1.21	0.07446607	0.0980625	0.02064109	1.69338	0.08256435	0.08256435
1.22	0.07450581	0.098875	0.02106229	1.694283	0.08424918	0.08424918
1.23	0.07573763	0.09971875	0.02111594	1.722296	0.08446375	0.08446375
1.24	0.07593632	0.1005521	0.02101262	1.726814	0.0840505	0.0840505
1.25	0.07621447	0.101375	0.02141396	1.733139	0.08565585	0.08565585
1.26	0.07649263	0.1022083	0.02163847	1.739464	0.08655389	0.08655389
1.27	0.07923444	0.1030521	0.02169013	1.801814	0.08676052	0.08676052
1.28	0.08062521	0.1038958	0.02164443	1.833441	0.08657774	0.08657774
1.29	0.07871787	0.1047396	0.0219663	1.790067	0.0878652	0.0878652
1.3	0.07792314	0.1055729	0.02209345	1.771995	0.08837382	0.08837382
1.31	0.07855892	0.1064167	0.02230605	1.786452	0.08922418	0.08922418
1.32	0.08138021	0.1072396	0.02249479	1.850609	0.08997917	0.08997917
1.33	0.08352598	0.1080625	0.022765	1.899405	0.09106001	0.09106001
1.34	0.08352598	0.1088958	0.02287428	1.899405	0.0914971	0.0914971
1.35	0.0850757	0.1097292	0.02319813	1.934646	0.09279251	0.09279251
