Nome do ensaio	Modo de ensaio	Tipo de ensaio	Título1	Comentário1	Palavra-chave	Nome do produto	Nome do arquivo do ensaio	Nome do arquivo do método	Data do relatório	Data do ensaio	Modo de ensaio	Tipo de ensaio	Velocidade	Placa	Lote No:	Sub-Lote No:
	Simples	Tração	Grupo de Mecânica Aplicada - GMAp
UFRGS	Comentário	 	 	 	 	04/06/2021	31/05/2021	Simples	Tração	5mm/min	Placa	5	1

Placa:	Lote No:	Sub-Lote No:
Placa	5	1
Nome	Espessura	Largura	Gauge Length
Unidade:	mm	mm	mm
GA_D_26	3.3373	13.0470	115.0000
GA_D_27	3.0873	13.0997	115.0000
GA_D_28	3.3160	12.9950	115.0000
GA_D_29	3.3497	12.9750	115.0000
GA_D_30	3.3563	13.0163	115.0000

Nome	Elástico	Inclinação_Padrão	Ruptura_Força	Máx_Força	Max_Disp_Força	Max_Disp_SG-25-50 %	Max_Disp_Deslocamento	Espessura	Largura	Gauge_Length	Máx_Tensão	YS1_Tensão
Parâmetro	Tensão 0.75 - 5 N/mm2	Tensão 0.75 - 5 N/mm2	Sensibilidade: 10	Cálculo de áreas completas							Cálculo de áreas completas	0.2 %
Unidade	N/mm2	N/mm	kN	kN	kN	%	mm	mm	mm	mm	N/mm2	N/mm2
Grupo_A-CP26-D	2063.08	3593.20	1.37325	1.62367	1.37031	14.2075	8.44057	3.3373	13.0470	115.0000	37.2900	36.1903
Grupo_A-CP27-D	2193.94	3549.15	1.31889	1.63337	0.01784	20.3071	10.2493	3.0873	13.0997	115.0000	40.3872	38.4693
Grupo_A-CP28-D	2062.80	3555.55	-.-	1.60035	1.17167	12.7450	9.16555	3.3160	12.9950	115.0000	37.1384	35.7432
Grupo_A-CP29-D	2035.89	3539.39	-.-	1.60237	0.01506	16.7215	10.2702	3.3497	12.9750	115.0000	36.8680	35.8367
Grupo_A-CP30-D	2024.81	3538.29	1.29807	1.56065	1.29406	14.9418	9.79473	3.3563	13.0163	115.0000	35.7237	35.5300

GC_N_11	
Tempo	Força	Deslocamento	Desloc. SG25-50	Tensão	SG-25-50 %	Deformação
seg	kN	mm	mm	N/mm2	%	%
0	0.01259645	0	0	0.2892959	0	0
0.01	0.01259645	4.166667E-05	0.0001013279	0.2892959	0.0004053116	0.0004053116
0.02	0.01259645	0.0001979167	0.000367562	0.2892959	0.001470248	0.001470248
0.03	0.01259645	0.0005625	0.0003496806	0.2892959	0.001398722	0.001398722
0.04	0.01259645	0.00109375	0.0004351139	0.2892959	0.001740456	0.001740456
0.05	0.01259645	0.001729167	0.0003437201	0.2892959	0.00137488	0.00137488
0.06	0.01259645	0.002447917	0.0004688899	0.2892959	0.001875559	0.001875559
0.07	0.01259645	0.00321875	0.0008404255	0.2892959	0.003361702	0.003361702
0.08	0.01259645	0.004010417	0.000667572	0.2892959	0.002670288	0.002670288
0.09	0.01259645	0.004833333	0.001029173	0.2892959	0.004116694	0.004116694
0.1	0.01259645	0.00565625	0.001058976	0.2892959	0.004235903	0.004235903
0.11	0.01259645	0.006479166	0.00131925	0.2892959	0.005276998	0.005276998
0.12	0.01259645	0.007302083	0.001649062	0.2892959	0.006596247	0.006596247
0.13	0.01259645	0.008125	0.001869599	0.2892959	0.007478396	0.007478396
0.14	0.01259645	0.008937499	0.001867612	0.2892959	0.007470449	0.007470449
0.15	0.01259645	0.009760416	0.002261003	0.2892959	0.009044011	0.009044011
0.16	0.01259645	0.01059375	0.002320607	0.2892959	0.00928243	0.00928243
0.17	0.01259645	0.01141667	0.002785524	0.2892959	0.01114209	0.01114209
0.18	0.01259645	0.01223958	0.00282526	0.2892959	0.01130104	0.01130104
0.19	0.01259645	0.01307292	0.003025929	0.2892959	0.01210372	0.01210372
0.2	0.01259645	0.01389583	0.003220638	0.2892959	0.01288255	0.01288255
0.21	0.01259645	0.01473958	0.00329415	0.2892959	0.0131766	0.0131766
0.22	0.01263618	0.01558333	0.003312032	0.2902085	0.01324813	0.01324813
0.23	0.01271566	0.01642708	0.003989538	0.2920336	0.01595815	0.01595815
0.24	0.01271566	0.01727083	0.003933907	0.2920336	0.01573563	0.01573563
0.25	0.01271566	0.01809375	0.004029274	0.2920336	0.0161171	0.0161171
